Website,Product Name,Category,Brand,Price,Original Price (MRP),Discount Percentage,Rating,Reviews,Favorable Feedback,Critical Feedback
Myntra,Bosch Home Appliances Product 455,Home Appliances,Bosch,14428.84,20490.11,29.58,4.9,4235,3175,1060
Myntra,Puma Fashion Product 865,Fashion,Puma,25907.5,34374.34,24.63,2,1251,1004,247
Myntra,Levi's Fashion Product 373,Fashion,Levi's,15102.86,22169.51,31.88,2.9,3539,2958,581
Myntra,OnePlus Electronics Product 665,Electronics,OnePlus,7798.57,9695.11,19.56,2.7,3795,2658,1137
Myntra,Scholastic Books Product 846,Books,Scholastic,42598.15,54043.75,21.18,2.8,1564,1101,463
Myntra,Fisher-Price Toys Product 468,Toys,Fisher-Price,40589,50153.09,19.07,2.5,3379,2325,1054
Myntra,Hachette Books Product 344,Books,Hachette,49526.53,59900.72,17.32,1.6,2089,1142,947
Myntra,Fisher-Price Toys Product 498,Toys,Fisher-Price,48061.35,58410.61,17.72,4,2353,1501,852
Myntra,Levi's Fashion Product 674,Fashion,Levi's,44308.95,53402.63,17.03,5,1689,1464,225
Myntra,Bosch Home Appliances Product 409,Home Appliances,Bosch,9612.88,12186.41,21.12,3.4,1489,1355,134
Myntra,Puma Fashion Product 268,Fashion,Puma,4440.25,5851.87,24.12,4.3,4143,2545,1598
Myntra,Penguin Books Product 592,Books,Penguin,39449.13,54851.06,28.08,2,1196,624,572
Myntra,Penguin Books Product 457,Books,Penguin,20317.49,23958.37,15.2,2.5,2845,1626,1219
Myntra,Hachette Books Product 516,Books,Hachette,48477.53,68449.87,29.18,3.3,4815,3779,1036
Myntra,Lakme Beauty Product 897,Beauty,Lakme,39461.92,45530.23,13.33,3.2,3180,3086,94
Myntra,Sony Electronics Product 381,Electronics,Sony,47736.38,54715.12,12.75,3.4,704,546,158
Myntra,LG Home Appliances Product 321,Home Appliances,LG,44450.55,57838.33,23.15,2.7,3140,3077,63
Myntra,Decathlon Sports Product 880,Sports,Decathlon,39974.76,49124.01,18.62,2.9,3819,2916,903
Myntra,HarperCollins Books Product 238,Books,HarperCollins,49728.5,59496.71,16.42,1.5,433,302,131
Myntra,Lego Toys Product 938,Toys,Lego,4186.06,5838.59,28.3,1.2,457,390,67
Myntra,Hasbro Toys Product 255,Toys,Hasbro,34157.59,43749.41,21.92,1.1,1658,924,734
Myntra,Zara Fashion Product 554,Fashion,Zara,8496.39,9994.11,14.99,4.7,1700,1086,614
Myntra,Nivea Beauty Product 501,Beauty,Nivea,10010.68,12177.38,17.79,1.1,1302,908,394
Myntra,HarperCollins Books Product 138,Books,HarperCollins,10416.18,13977.21,25.48,3.2,63,45,18
Myntra,Lakme Beauty Product 827,Beauty,Lakme,17274.2,19142.47,9.76,2.1,4195,2358,1837
Myntra,Lego Toys Product 291,Toys,Lego,30665.35,34638.06,11.47,1.9,2858,2316,542
Myntra,Apple Electronics Product 963,Electronics,Apple,12391.16,16100.28,23.04,1.5,4420,3025,1395
Myntra,Decathlon Sports Product 803,Sports,Decathlon,26939,34466.12,21.84,3,3880,2220,1660
Myntra,Hasbro Toys Product 931,Toys,Hasbro,2730.48,3732.63,26.85,3.4,939,751,188
Myntra,Head Sports Product 193,Sports,Head,29873.33,39522.96,24.42,2,1428,762,666
Myntra,Hachette Books Product 456,Books,Hachette,22178.69,30272.03,26.74,3.7,2944,2662,282
Myntra,Samsung Electronics Product 828,Electronics,Samsung,14568.66,21343.22,31.74,2.6,1061,684,377
Myntra,Reebok Sports Product 585,Sports,Reebok,9404.14,13636.19,31.04,1.3,3672,2645,1027
Myntra,Levi's Fashion Product 140,Fashion,Levi's,41174.64,45404.59,9.32,4,1633,976,657
Myntra,Apple Electronics Product 951,Electronics,Apple,37534.73,49891.82,24.77,4.2,538,352,186
Myntra,Scholastic Books Product 328,Books,Scholastic,16926.88,21415.34,20.96,3.4,1829,1410,419
Myntra,Levi's Fashion Product 899,Fashion,Levi's,46068.69,65324.95,29.48,4.4,4508,4075,433
Myntra,Oxford Books Product 564,Books,Oxford,37028.96,44087.8,16.01,2.6,1734,930,804
Myntra,Zara Fashion Product 793,Fashion,Zara,41337.52,45491.12,9.13,4.8,4658,2829,1829
Myntra,Oxford Books Product 757,Books,Oxford,24360.09,28935.85,15.81,3.9,3347,1988,1359
Myntra,Scholastic Books Product 979,Books,Scholastic,20062.9,22289.64,9.99,4.2,2042,1444,598
Myntra,Scholastic Books Product 357,Books,Scholastic,39595.38,51948.89,23.78,4,2601,1789,812
Myntra,Funskool Toys Product 924,Toys,Funskool,19152.37,22892.61,16.34,1.5,4850,4373,477
Myntra,Apple Electronics Product 610,Electronics,Apple,2614.28,3350,21.96,1.7,801,797,4
Myntra,Dell Electronics Product 631,Electronics,Dell,16249.16,23650.13,31.29,4.5,1604,1544,60
Myntra,Samsung Electronics Product 925,Electronics,Samsung,36973.3,46078.51,19.76,3.3,594,354,240
Myntra,Nike Fashion Product 271,Fashion,Nike,45411.16,56256.98,19.28,4.4,2410,1730,680
Myntra,OnePlus Electronics Product 179,Electronics,OnePlus,3594.03,4117.95,12.72,2.5,2247,1498,749
Myntra,Under Armour Sports Product 406,Sports,Under Armour,15443.07,20705.14,25.41,3.1,3006,2519,487
Myntra,Head Sports Product 794,Sports,Head,799.66,984.9,18.81,4.1,1449,856,593
Myntra,Dove Beauty Product 924,Beauty,Dove,9716.53,13043.79,25.51,1.4,2398,1478,920
Myntra,Penguin Books Product 789,Books,Penguin,45477.96,61365.78,25.89,1.3,3206,1899,1307
Myntra,OnePlus Electronics Product 525,Electronics,OnePlus,26156.42,36762.41,28.85,1.2,3442,2164,1278
